Id,Level,Code,Description,EditStatus,AfrDesc,Type,Point
235,1,1-06,"NEGLECTING HOMEWORK/HOMEWORK NOT DONE. TEXTBOOKS & SCRIPTS NOT AVAILABLE, WORK NOT UP TO DATE",C,,D,2
236,1,1-07,LATE COMING (AFTER 3 MINUTES)TO CLASS,C,,D,2
237,1,1-08,"DISOBEDIENCE/DISRUPTING, NOT LISTENING IN CLASS,RUDE TOWARDS EDUCATOR/LEARNER/STAFF MEMBER",C,,D,2
238,1,1-09,"LITTERING, EATING/CHEWING IN CLASS",C,,D,2
239,1,1-10,FOUL LANGUAGE,C,,D,2
240,1,1-11,LEAVING CLASS WITHOUT PERMISSION,C,,D,2
241,1,1-12,"DESTRUCTION OF EDUCATIONAL MATERIAL/PROPERTY eg GRAFFITI
",C,,D,2
242,1,1-13,SLEEPING IN CLASS,C,,D,2
243,1,1-14,COPYING OF WORK OR ALLOWING OTHER LEARNERS TO COPY,C,,D,2
244,1,1-15,DISOBEYING APPEARANCE & SCHOOL UNIFORM RULES ACCORDING TO CODE OF CONDUCT,C,,D,2
245,1,1-16,NEGLECTING BOOKS/REPORTS TO BE SIGNED BY PARENTS ETC,C,,D,2
246,1,1-17,NOT ATTENDING  RELIEF CLASS,C,,D,2
247,1,1-18,TASK NOT SUBMITTED/CLASS WORK BOOK/WORK NOT UP TO DATE,C,,D,2
248,1,1-19,BUNKING DURING SCHOOL HOURS,C,,D,2
249,1,1-20,ENTERING CLASS WITHOUT OF PERMISSION,C,,D,2
250,1,1-21,PLAYING SOCCER WITHOUT PRIOR CONSENT/ON SCHOOL PREMISES,C,,D,2
251,1,1-22,INAPPROPRIATE DISPLAYS OF AFFECTION BETWEEN LEARNERS,C,,D,2
252,1,1-23,FORBIDDEN PLACES e.g GIRL IN BOYS TOILET,C,,D,2
235,1,1-06,"NEGLECTING HOMEWORK/HOMEWORK NOT DONE. TEXTBOOKS & SCRIPTS NOT AVAILABLE, WORK NOT UP TO DATE",C,,D,2
236,1,1-07,LATE COMING (AFTER 3 MINUTES)TO CLASS,C,,D,2
237,1,1-08,"DISOBEDIENCE/DISRUPTING, NOT LISTENING IN CLASS,RUDE TOWARDS EDUCATOR/LEARNER/STAFF MEMBER",C,,D,2
238,1,1-09,"LITTERING, EATING/CHEWING IN CLASS",C,,D,2
239,1,1-10,FOUL LANGUAGE,C,,D,2
240,1,1-11,LEAVING CLASS WITHOUT PERMISSION,C,,D,2
